,Aldoc_class,Cadps2_class,Calb2_class,Col25a1_class,Cplx2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Nrn1_class,Ntng1_class,Pcp4_class,Pde1a_class,Penk_class,Plp1_class,Pnoc_class,Pvalb_class,Reln_class,Rgs4_class,Slc6a1_class,Sncg_class,Sst_class,Trp53i11_class,Zero
Ndrg4,0.5307291778678696,0.5254081362123275,0.4075310689959002,0.516372959980578,0.14602108148917345,0.24679030898902288,0.3525704536466702,0.46758596799685226,0.43914982246411977,0.18554687419074273,0.21264675525629204,0.17578721850189774,0.40963985530948277,0.2778851833771825,0.27252680984819194,0.11098217275991672,0.3736833127326985,1.1575680401680024,0.25459935618046037,0.11469027278413148,0.33781398380891164,0.17974389342934685,0.41520932566485647,0.6588347849804679,0.01605655941895004
Neurod6,0.17691422050978475,0.0951899150608062,0.3224823826628931,0.07762173768321728,0.31480981020226173,0.24548535981152741,0.11799165058982992,0.05001240027844981,0.4996969084330086,0.09401735067570721,0.1819885175558012,0.053993991091509416,0.0919252571000658,0.31396616900896535,0.1347454819405105,0.07185350997612823,0.15406665028345945,0.11258235319690563,0.3619519652277052,0.23536430544160225,0.20320019920936253,0.07745583669711814,0.13962111753320144,0.4023719547847342,0.013877261944580246
Nos1,0.02502586435559085,0.1604210619334211,0.05727013884523804,0.19471491881153874,1.7388673134312411,0.07093957493791132,0.21051662812787528,0.09287555175603417,0.047122714768443597,0.05590539659148484,0.18184314385939018,0.12458522560414012,0.06113422949123381,2.166415906496342,0.10313340998880748,0.03216248494362883,0.053123233066559146,0.3113464337791961,0.11860813750393848,1.2704684500808279,0.027517596268247353,0.7709761008600723,0.062483863621547175,1.793505263923751,0.008688333009674455
Nov,0.03340920761143797,0.038205728509549765,0.09720587546667778,0.10508026972687283,0.013339587360384797,0.15155917014017828,0.1790944775846301,0.0,0.21083460463129775,0.06498278145859031,0.03449517257498796,0.040459901485650845,0.19882669535400502,0.16762425688046145,0.28408836375295554,0.0162326633227757,0.0796344466268497,0.493395177427294,0.04064993327245371,0.04682751809540578,0.12205485448487868,0.038513296871113975,0.15379163418784278,0.20259098788009935,0.0006446340063409426
Npy,0.03633683984095454,0.02772898909566115,0.0,0.00023558190984025674,0.142482923937657,0.2175182897121965,0.012404618760641847,0.19552957234427895,0.06318303150669609,0.04527570439372752,0.03328017249799391,0.09456256061761113,0.07188447524786686,0.20863229518618104,0.020524231643424533,0.036669343188069185,0.08064543749906525,0.0,0.08243579647043618,0.02301118216963026,0.16802748549496122,0.0,0.0970848150040233,0.16781565531227408,0.010777734197398001
Npy2r,0.42166533638511494,0.07285172295538449,0.6082827779229512,0.5689703438007151,0.12770288981396333,0.718548091930393,0.07615989552159894,1.3718198309215208,0.40485383397090186,0.9128570318885227,0.9411436650293143,0.16807484528255792,0.3622821407557153,0.8333930906567126,0.9893583518941572,0.06443336331477503,0.40845435975825517,0.30966330824016686,0.19037958629127313,0.18315094506608848,0.9593708006714807,0.041091057715521316,2.459214206192656,0.5030445002983025,0.01263131509963757
Nr4a2,0.010205785556508687,0.08779185609734504,0.18642529187752893,0.10566225726617086,0.1350603061422063,0.09547018687320025,0.044451717198036964,0.2646877759742579,0.08528232068758757,0.19140781722089759,0.14237548659333898,0.020041958447621622,0.05656647279334039,0.4334309324285241,0.02394536213846402,0.012401430375684289,0.0003453293580670272,0.09735239855199371,0.03145418137278591,0.21034104557902084,0.05787471836052109,0.0862115467978959,0.06011319487963751,0.29534705540002665,0.010179209582983252
Nrn1,0.10856629639608358,0.14935061596936428,7.410206833243038,0.8727356445317759,0.12540724998678432,0.32092326069658444,0.549771339183666,0.13404015079278522,0.28780514732550544,0.31970609830579855,11.439014250144792,4.081204089878337,0.19960796612119855,0.588882595933805,0.23164674271836724,0.15675420762103975,0.30077328685936966,0.09435916818641747,4.622757372156984,0.4878117117960907,0.6521642487659983,0.370347711393342,0.12909693045717988,6.473822971653825,0.047626626138470296
Ntng1,0.07916367339351606,0.26351312627145734,9.190405007014324,3.1053782791232196,0.5134128862123939,0.7345032320525426,0.191496213425122,0.9500596347882098,0.6314230814670925,1.0391232392816088,5.5073409363123265,4.701383529034166,0.5278593474475524,1.4929525455219657,0.8078061389723559,0.12000019502382855,0.08876946462559278,0.3464668401640959,4.15875465116425,0.21044600250800952,1.5141858663508956,0.7017023625999607,0.17716051427092372,5.949389303836706,0.029338458141358503
Nts,0.019896520393167437,0.09933677931481431,0.04691632316535876,0.4351440992893255,0.032005333401251786,0.10282054038975813,0.006529654083679838,0.40456047189241445,0.26199583055836534,0.043944638299810025,0.09378114690774,0.10186079769600359,0.1661480883490032,0.3366227369391272,0.1868061579920265,0.018424621186250902,0.030472721700355806,0.16864211412244903,0.0,0.0060837523832647815,0.09686662081167934,0.1645042918681163,0.34995831695633745,0.0026262989616567703,0.004615059014144586
Pcp4,9.52293676895418,14.52995528128415,8.180066395880978,5.907881909860719,7.766742361009421,4.370748192399656,2.920308343037206,12.450733175341743,9.41899492702495,5.772823444378061,10.194932800507924,2.229600562384926,8.451843809202185,17.133598322759756,6.795455540213605,1.660031294900346,8.11432468566481,22.202315386907994,7.0149088924483785,8.097147368679966,10.957976997709746,5.927963128122363,3.854221984581105,11.587377781579637,0.23575539438371912
Pde1a,4.620558509330867,1.1047851650467824,0.9347147825995952,3.228776604176061,10.886269428343514,3.8613311639392123,1.1601628548269936,8.1268326101259,3.5081404742703794,3.7587933696193967,0.6180949327647086,0.9665879077221146,2.478009723297708,16.88147991928484,0.7163817079231691,0.7429250504098113,1.4307465616520851,2.092209241457085,0.9023968358836773,10.638825160549754,6.230128991370842,8.503873916812706,9.23774251823064,8.997839129353927,0.08734909153759575
Peg10,0.3199286829208172,0.33128074401921814,0.12522381877357808,0.34951793481234206,0.12381699118658039,0.2436347288588197,0.8624354925145945,0.19353452101506544,0.18246857737618258,0.27045378355218647,0.42384337614600576,0.45759387945825886,0.25742167548963624,0.5367695066161791,0.10561372494939725,0.09811151061390941,0.054189742571612805,0.032328359669722265,0.14884048611382122,0.3715943540260332,0.416935688245057,0.2958562477447529,0.393678066592963,0.284202256585905,0.038396244869192485
